# File written from OrientationAnalysis Version 6.5.171.b0b162591
# DateTime: Wed Jun 5 15:09:51 2024
# X_STEP: 250.0
# Y_STEP: 250.0
# Z_STEP: 0.0
#
# X_MIN: 0.000000
# Y_MIN: 0.000000
# Z_MIN: 0.000000
#
# X_MAX: 55000.0
# Y_MAX: 50000.0
# Z_MAX: 0.0
#
# X_DIM: 220.0
# Y_DIM: 200
# Z_DIM: 0
#
# Phase_1: Primary
# Symmetry_1: 43
# Features_1: 16
#
# Num_Features: 16
#
# phi1 PHI phi2 x y z FeatureId PhaseId Symmetry
3.813215 2.312874 2.958188 11125.0 125.0 0.0 16 1 43
3.813215 2.312874 2.958188 11375.0 125.0 0.0 16 1 43
5.302073 1.493147 0.039278 11625.0 125.0 0.0 3 1 43
5.302073 1.493147 0.039278 11875.0 125.0 0.0 3 1 43
5.302073 1.493147 0.039278 12125.0 125.0 0.0 3 1 43
5.302073 1.493147 0.039278 12375.0 125.0 0.0 3 1 43
5.302073 1.493147 0.039278 12625.0 125.0 0.0 3 1 43
5.302073 1.493147 0.039278 12875.0 125.0 0.0 3 1 43
5.302073 1.493147 0.039278 13125.0 125.0 0.0 3 1 43
5.302073 1.493147 0.039278 13375.0 125.0 0.0 3 1 43
5.302073 1.493147 0.039278 13625.0 125.0 0.0 3 1 43
5.302073 1.493147 0.039278 13875.0 125.0 0.0 3 1 43
5.302073 1.493147 0.039278 14125.0 125.0 0.0 3 1 43
5.302073 1.493147 0.039278 14375.0 125.0 0.0 3 1 43
5.302073 1.493147 0.039278 14625.0 125.0 0.0 3 1 43
5.302073 1.493147 0.039278 14875.0 125.0 0.0 3 1 43
5.302073 1.493147 0.039278 15125.0 125.0 0.0 3 1 43
5.302073 1.493147 0.039278 15375.0 125.0 0.0 3 1 43
5.302073 1.493147 0.039278 15625.0 125.0 0.0 3 1 43
5.302073 1.493147 0.039278 15875.0 125.0 0.0 3 1 43
5.302073 1.493147 0.039278 16125.0 125.0 0.0 3 1 43
5.302073 1.493147 0.039278 16375.0 125.0 0.0 3 1 43
5.302073 1.493147 0.039278 16625.0 125.0 0.0 3 1 43
5.302073 1.493147 0.039278 16875.0 125.0 0.0 3 1 43
5.302073 1.493147 0.039278 17125.0 125.0 0.0 3 1 43
5.302073 1.493147 0.039278 17375.0 125.0 0.0 3 1 43
5.302073 1.493147 0.039278 17625.0 125.0 0.0 3 1 43
5.302073 1.493147 0.039278 17875.0 125.0 0.0 3 1 43
5.302073 1.493147 0.039278 18125.0 125.0 0.0 3 1 43
5.302073 1.493147 0.039278 18375.0 125.0 0.0 3 1 43
5.302073 1.493147 0.039278 18625.0 125.0 0.0 3 1 43
5.302073 1.493147 0.039278 18875.0 125.0 0.0 3 1 43
5.302073 1.493147 0.039278 19125.0 125.0 0.0 3 1 43
5.302073 1.493147 0.039278 19375.0 125.0 0.0 3 1 43
5.302073 1.493147 0.039278 19625.0 125.0 0.0 3 1 43
5.302073 1.493147 0.039278 19875.0 125.0 0.0 3 1 43
5.302073 1.493147 0.039278 20125.0 125.0 0.0 3 1 43
5.302073 1.493147 0.039278 20375.0 125.0 0.0 3 1 43
1.161009 2.050775 4.735713 20625.0 125.0 0.0 4 1 43
1.161009 2.050775 4.735713 20875.0 125.0 0.0 4 1 43
1.161009 2.050775 4.735713 21125.0 125.0 0.0 4 1 43
1.161009 2.050775 4.735713 21375.0 125.0 0.0 4 1 43
1.161009 2.050775 4.735713 21625.0 125.0 0.0 4 1 43
1.161009 2.050775 4.735713 21875.0 125.0 0.0 4 1 43
1.161009 2.050775 4.735713 22125.0 125.0 0.0 4 1 43
1.161009 2.050775 4.735713 22375.0 125.0 0.0 4 1 43
1.161009 2.050775 4.735713 22625.0 125.0 0.0 4 1 43
1.161009 2.050775 4.735713 22875.0 125.0 0.0 4 1 43
